Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,45.687500,45.687500,45.687500,45.687500,36.954700,40000
2000-05-30,47.187500,47.468750,47.187500,47.468750,38.395473,104200
2000-05-31,47.390621,47.390621,47.390621,47.390621,38.332291,400
2000-06-01,47.937500,48.250000,47.937500,48.250000,39.027409,20400
2000-06-02,50.296879,50.328121,50.046879,50.125000,40.544010,83600
2000-06-05,49.843750,49.851559,49.703121,49.742191,40.234383,131800
2000-06-06,49.703121,50.062500,49.437500,49.437500,39.987919,239000
2000-06-07,49.015621,49.476559,49.015621,49.382809,39.943695,3000
2000-06-08,49.453121,49.507809,49.156250,49.156250,39.760429,603400
2000-06-09,49.578121,49.851559,49.578121,49.632809,40.145920,3600
2000-06-12,49.812500,49.812500,48.789059,48.804691,39.476070,146200
2000-06-13,49.046879,49.046879,48.562500,48.914059,39.564541,206200
2000-06-14,49.640621,49.640621,49.000000,49.000000,39.634060,71600
2000-06-15,49.000000,49.750000,48.875000,49.750000,40.240704,450600
2000-06-16,49.593750,49.890621,49.468750,49.562500,40.089043,604600
2000-06-19,49.578121,50.484379,49.500000,50.390621,40.758854,12400
2000-06-20,50.562500,50.750000,50.257809,50.695309,41.005310,155200
2000-06-21,50.500000,50.656250,50.460941,50.539059,40.906376,201200
2000-06-22,49.859379,50.039059,49.156250,49.156250,39.787113,460800
2000-06-23,49.148441,49.257809,48.695309,48.750000,39.458298,301000
2000-06-26,49.109379,49.109379,48.812500,48.992191,39.654331,54400
2000-06-27,49.125000,49.195309,48.562500,48.687500,39.407711,97600
2000-06-28,48.640621,49.234379,48.640621,49.234379,39.850368,5000
2000-06-29,49.015621,49.500000,48.867191,49.468750,40.040054,364000
2000-06-30,48.437500,48.515621,48.437500,48.515621,39.268581,8600
2000-07-03,48.515621,49.164059,48.500000,49.164059,39.793434,105200
2000-07-05,48.703121,48.929691,48.546879,48.546879,39.293896,10000
2000-07-06,48.609379,49.070309,48.484379,49.070309,39.717567,815200
2000-07-07,49.359379,49.820309,49.359379,49.718750,40.242424,53800
2000-07-10,50.085941,50.429691,50.046879,50.382809,40.779907,204400
2000-07-11,50.281250,50.890621,50.281250,50.703121,41.039162,265000
2000-07-12,51.093750,51.421879,51.000000,51.406250,41.608273,248600
2000-07-13,51.625000,51.625000,51.445309,51.476559,41.665184,92600
2000-07-14,51.679691,51.789059,51.460941,51.789059,41.918121,160200
2000-07-17,51.703121,51.835941,51.632809,51.812500,41.937103,26600
2000-07-18,51.625000,51.679691,51.171879,51.171879,41.418575,341200
2000-07-19,51.062500,51.281250,50.625000,50.625000,40.975925,176600
2000-07-20,51.132809,51.335941,51.132809,51.179691,41.424892,18600
2000-07-21,50.687500,50.726559,50.500000,50.500000,40.874752,71600
2000-07-24,50.546879,50.554691,50.000000,50.062500,40.520645,103200
2000-07-25,50.109379,50.109379,49.648441,49.812500,40.318291,167200
2000-07-26,49.695309,49.695309,49.046879,49.625000,40.166534,133000
2000-07-27,49.265621,49.335941,48.945309,49.070309,39.717567,67000
2000-07-28,49.070309,49.070309,48.140621,48.453121,39.218002,61000
2000-07-31,48.687500,48.937500,48.687500,48.937500,39.610062,2200
2000-08-01,49.171879,49.343750,49.148441,49.148441,39.780800,7400
2000-08-02,49.093750,49.882809,49.031250,49.882809,40.375195,11800
2000-08-03,48.687500,49.578121,48.687500,49.578121,40.128578,7400
2000-08-04,50.375000,50.515621,50.359379,50.453121,40.836811,24000
2000-08-07,51.218750,51.242191,51.117191,51.117191,41.374310,1200
2000-08-08,51.187500,51.343750,51.187500,51.312500,41.532406,14800
2000-08-09,51.492191,51.570309,50.734379,50.734379,41.064445,130400
2000-08-10,50.796879,50.875000,50.546879,50.546879,40.912693,210400
2000-08-11,50.562500,51.414059,50.437500,51.414059,41.614594,199400
2000-08-14,51.500000,51.953121,51.500000,51.906250,42.012974,151600
2000-08-15,51.601559,51.726559,51.546879,51.570309,41.741066,309000
2000-08-16,51.960941,51.960941,51.656250,51.656250,41.810623,8600
2000-08-17,51.843750,52.226559,51.820309,52.218750,42.265915,140800
